"seller_id","total_orders","late_orders","late_percentage"
"54965bbe3e4f07ae045b90b0b8541f52","73","26","35.62"
"2a261b5b644fa05f4f2700eb93544f2c","51","18","35.29"
"6039e27294dc75811c0d8a39069f52c0","63","19","30.16"
"bbad7e518d7af88a0897397ffdca1979","68","19","27.94"
"a49928bcdf77c55c6d6e05e09a9b4ca5","96","26","27.08"
"cac4c8e7b1ca6252d8f20b2fc1a2e4af","74","19","25.68"
"beadbee30901a7f61d031b6b686095ad","64","16","25.00"
"06a2c3af7b3aee5d69171b0e14f0ee87","389","95","24.42"
"88460e8ebdecbfecb5f9601833981930","246","59","23.98"
"11bfa66332777660bd0640ee84d47006","76","18","23.68"
