"customer_state","total_orders","late_orders","late_percentage"
"AL","397","95","23.93"
"MA","717","141","19.67"
"PI","476","76","15.97"
"CE","1279","196","15.32"
"SE","335","51","15.22"
"BA","3256","457","14.04"
"RJ","12350","1664","13.47"
"TO","274","35","12.77"
"PA","946","117","12.37"
"ES","1995","244","12.23"
"RR","41","5","12.20"
"MS","701","81","11.55"
"PB","517","57","11.03"
"PE","1593","172","10.80"
"RN","474","51","10.76"
"SC","3546","346","9.76"
"GO","1957","160","8.18"
"RS","5344","382","7.15"
"DF","2080","147","7.07"
"MT","886","60","6.77"
"SP","40494","2387","5.89"
"MG","11354","637","5.61"
"PR","4923","246","5.00"
"AP","67","3","4.48"
"AM","145","6","4.14"
"AC","80","3","3.75"
"RO","243","7","2.88"
