"seller_id","late_orders","revenue_at_risk","avg_review_score"
"4869f7a5dfa277a7dca6462dcf3b52b2","128","26524.90","2.23"
"4a3ca9315b744ce9f8e9374361493884","193","22604.09","2.43"
"b1b3948701c5c72445495bd161b83a4c","9","17999.91","1.00"
"7c67e1448b00f6e969d365cea6b010ab","96","17647.09","2.10"
"fa1c13f2614d7b5c4749cbc52fecda94","56","15035.80","2.38"
"7d13fca15225358621be4086e1eb0964","68","15009.44","1.85"
"1025f0e2d44d7041d6cf58b6550e0bfa","91","14309.32","2.72"
"da8622b14eb17ae2831f4ac5b9dab84a","96","11949.00","2.55"
"f7ba60f8c3f99e7ee4042fdef03b70c4","34","11503.00","2.74"
"955fee9216a65b617aa5c0531780ce60","96","10932.62","2.85"
